Array Probe	Category Component
CLDN7_21042	1366
CPOX_28209	1371
CR1L_19139	1379
CREB1_28364	1385
CREBBP_1553	1387
ATF6B_23130	1388
CRK_1571	1398
CRKL_1574	1399
CRP_15847	1401
CRY1_15619	1407
CRYAB_17511	1410
CRYZ_1586	1429
CS_24503	1431
MAPK14_4000	1432
CSF1R_25745	1436
CSF1R_27064	1436
CSF2RB_23809	1439
CSF3R_25969	1441
CSK_27067	1445
CSNK1A1_27068	1452
CSNK1E_1602	1454
CSNK2A2_1609	1459
CSRP1_1611	1465
CST1_11926	1469
CTGF_17007	1490
CTNNB1_1633	1499
CTNND1_27079	1500
CTPS1_16302	1503
CTSD_1642	1509
CTSG_1643	1511
CTSL1_1647	1514
CTSS_25157	1520
CYB561_1683	1534
CYBB_23808	1536
CYC1_27087	1537
CYP1A1_10775	1543
CYP1A2_1699	1544
CYP1B1_17315	1545
CYP2A13_28366	1548
CYP2A6_1709	1548
CYP2A6_28673	1548
CYP2A7_14419	1548
CYP2A13_28366	1549
CYP2A6_1709	1549
CYP2A6_28673	1549
CYP2A7_14419	1549
CYP2A13_28366	1553
CYP2A6_1709	1553
CYP2A6_28673	1553
CYP2A7_14419	1553
CYP2B6_14401	1555
CYP2B7P_28166	1556
CYP2C19_22478	1557
CYP2C8_15146	1558
CYP2C9_12062	1559
CYP2C9_1720	1559
CYP2C18_15147	1562
CYP2D6_17313	1565
CYP2E1_1722	1571
CYP3A4_20661	1576
CYP3A4_28338	1576
CYP3A5_27090	1577
CYP3A5_28493	1577
CYP4A11_15140	1579
CYP7A1_1745	1581
CYP7A1_28240	1581
CYP11A1_11890	1583
CYP11B1_12735	1584
CYP11B2_18255	1585
CYP17A1_17310	1586
CYP19A1_25213	1588
CYP24A1_11891	1591
CYP51A1_1742	1595
DAD1_1749	1603
CD55_1141	1604
CD55_28297	1604
DAG1_1750	1605
DAPK1_1752	1612
DAPK1_28743	1612
DAXX_1756	1616
DBH_1758	1621
ECI1_22689	1632
DCK_1776	1633
DCN_1779	1634
DCN_27098	1634
DCN_27099	1634
DCTD_1785	1635
ACE_26793	1636
ACE_26794	1636
DDB2_1798	1643
DDC_18548	1644
DDC_27100	1644
AKR1C2_28246	1645
AKR1C2_28246	1646
GADD45A_2569	1647
DDIT3_16736	1649
DDX10_1808	1662
DHX15_13052	1665
DECR1_1831	1666
DEFA1B_21887	1667
DEFA1B_21887	1668
DEFA4_28365	1669
DEFA6_28590	1671
DES_1849	1674
DFFA_1850	1676
DFFB_1853	1677
DHCR7_17139	1717
DHFR_18547	1719
NQO1_26473	1728
NQO1_4668	1728
SEPT1_22117	1731
DLAT_1875	1737
DLD_1877	1738
DLX5_18350	1749
DNM1_1924	1759
DNA2_16614	1763
DNMT1_1928	1786
DNMT1_28309	1786
DNMT3A_1932	1788
DNMT3A_27133	1788
DOCK2_20159	1794
DPH2_1940	1802
DPYS_16757	1807
SLC26A3_24332	1811
DRD2_19254	1813
DSC3_25779	1825
DSG2_1967	1829
DSG3_1968	1830
TSC22D3_7366	1831
DSP_21266	1832
SLC26A2_24334	1836
DUSP1_24234	1843
DUSP3_1987	1845
DUSP4_1990	1846
DUSP4_27145	1846
DUSP6_1993	1848
TOR1A_7283	1861
E2F1_2008	1869
E2F2_2009	1870
GPR183_12920	1880
ECH1_2022	1891
EDN1_2029	1906
EEF1B2_14833	1933
EEF1G_24831	1937
EEF2_2042	1938
EGF_2055	1950
EGFR_2063	1956
EGR1_2068	1958
EGR3_16091	1960
EIF1AX_2077	1964
EIF2S1_2085	1965
EIF2B1_2082	1967
EIF2B1_28299	1967
EIF4B_2106	1975
EIF4EBP1_2107	1978
