Array Probe	Category Component
PSMC1_23344	5700
PSMC3_25991	5702
PSMC3_5517	5702
PSMC6_5518	5706
PSMD2_5528	5708
PSMD3_23346	5709
PSMD4_5530	5710
PSMD8_16404	5714
PSMD9_27739	5715
PSMD9_28288	5715
PSMD9_5533	5715
PSMD10_5521	5716
PSMD12_16403	5718
PSME1_5534	5720
PSME2_5535	5721
PTEN_5553	5728
PTGER1_15145	5731
PTGER4_21423	5734
PTGFR_5569	5737
PTGS1_22773	5742
PTGS2_5577	5743
PTK2_5583	5747
PTPN1_5592	5770
PTPN6_28294	5777
PTPN6_5601	5777
PTPN12_5598	5782
PTPRC_5605	5788
PTPRCAP_25730	5790
PTPRF_5611	5792
PTPRK_5618	5796
PVR_16595	5817
PXMP2_5641	5827
PXN_5642	5829
PYCR1_5644	5831
PYGL_5647	5836
QARS_19007	5859
RAB1A_27749	5861
RAB1A_5660	5861
RAB4A_5674	5867
RAB27A_5667	5873
RABGGTB_10572	5876
RABGGTB_28610	5876
RAC1_5694	5879
RAC2_5695	5880
RAD9A_5709	5883
RAD21_5698	5885
RAD51C_5708	5889
MOK_4238	5891
RALA_5719	5898
RALB_5720	5899
RALGDS_5721	5900
RAN_5725	5901
RANBP2_10755	5903
RAP1GAP_5729	5909
RARA_15510	5914
RASA1_5742	5921
RB1_5752	5925
KDM5A_3544	5927
RBBP5_28415	5929
RBP3_28896	5949
RECQL_5786	5965
REG1A_5790	5967
RELB_28340	5971
RET_20047	5979
RFC2_5805	5982
RFC3_5808	5983
RFC4_5811	5984
RFC5_5812	5985
RFNG_5813	5986
RFPL3_24612	5988
RFX5_5817	5993
RGR_11946	5995
RGS2_28241	5997
RHEB_5834	6009
RHO_24554	6010
GRK1_2794	6011
RNASE3_28313	6037
RNASE4_25972	6038
RNASE6_10652	6039
RNH1_5893	6050
RPA1_5901	6117
RPA2_5905	6118
RPA3_5906	6119
RPL3_5932	6122
RPL4_5948	6124
RPL6_5953	6128
RPL7A_5954	6130
RPL8_5955	6132
RPL9_5956	6133
RPL11_5914	6135
RPL15_14976	6138
RPL17_5919	6139
RPL19_5921	6143
RPL22_5923	6146
RPL24_5926	6152
RPL26_5927	6154
RPL27_5929	6155
RPL28_12205	6158
RPL29_12206	6159
RPL32_27803	6161
RPL36A_27804	6173
RPLP0_20556	6175
RPLP0_5959	6175
MRPL12_4260	6182
RPN1_5965	6184
RPS2_5983	6187
RPS3_25124	6188
RPS4Y1_6010	6192
RPS5_6011	6193
RPS6_6014	6194
RPS6KA1_6015	6195
RPS7_6021	6201
RPS13_5977	6207
RPS17_5980	6218
RPS18_5982	6222
RPS20_27810	6224
RPS20_5987	6224
RPS25_5991	6230
RPS27A_5998	6233
RRM1_6031	6240
RRM2_6034	6241
RSU1_6052	6251
RTN2_6054	6253
S100A2_21300	6273
S100A4_6083	6275
S100A8_25188	6279
S100A9_25189	6280
S100A12_23915	6283
S100A13_27820	6284
S100B_11600	6285
SAA1_22122	6288
MAPK12_25181	6300
SAT1_17598	6303
SAT1_6103	6303
SATB1_6106	6304
MSMO1_4315	6307
SCNN1G_21899	6340
SCP2_27826	6342
SCP2_6152	6342
CCL2_1039	6347
CCL3_1043	6348
CCL4_17107	6351
CCL5_24896	6352
CCL8_26206	6355
CCL8_28295	6355
CCL11_14453	6356
CCL14_11163	6358
CCL15_25622	6359
CCL22_21224	6367
CCL24_21223	6369
CXCL11_24932	6373
XCL1_21226	6375
SDC1_6160	6382
CXCL12_12361	6387
SDHB_6173	6390
IGLV2_28398	6399
SEL1L_11119	6400
SELE_21396	6401
SELL_21329	6402
SELL_28347	6402
SELP_20690	6403
SEMG2_23799	6407
SEPW1_20696	6415
MAP2K4_3974	6416
SFRP2_13438	6423
SRSF1_6768	6426
SRSF2_13425	6427
SRSF7_26369	6432
SRSF7_6776	6432
SGCB_6277	6443
SHB_27848	6461
SHC1_6301	6464
ST3GAL1_16088	6482
STIL_15150	6491
SKIV2L_6323	6499
SKP1_6326	6500
SLA_14953	6503
SLC1A2_24387	6506
SLC1A3_13929	6507
SLC1A4_6371	6509
SLC2A2_6439	6514
SLC2A3_6444	6515
SLC2A5_16347	6518
SLC4A1_22136	6521
SLC5A5_21398	6528
SLC6A3_6518	6531
SLC6A8_27878	6535
SLC10A1_19648	6554
SLC10A2_28350	6555
SLC18A2_12450	6571
SLC22A1_19293	6580
SLC22A2_27864	6582
SNAI2_24257	6591
SMARCA4_6573	6597
SMARCC1_6575	6599
SMARCD2_28386	6603
SMARCD2_6579	6603
SNAP25_6607	6616
SNCA_6612	6622
SNRPA_6627	6626
SNRPB_23271	6628
SNRPD3_17215	6634
SNRPG_6644	6637
SOD1_24659	6647
SOD2_22842	6648
SOD3_17377	6649
SOS1_10682	6654
SOX2_6683	6657
SOX4_6686	6659
SPAG4_6691	6676
SPP1_6720	6696
SPR_6721	6697
SPRR1B_28392	6699
SPTAN1_6727	6709
SRC_6741	6714
SRD5A1_14585	6715
SRM_19860	6723
SRP9_6762	6726
SRP72_28388	6731
SSB_23767	6741
SSR1_6784	6745
STAR_19847	6770
STAT1_6824	6772
STAT3_6829	6774
STAT4_25843	6775
STAT5B_6835	6777
STC1_6839	6781
HSPA13_3134	6782
AURKA_586	6790
STK10_6844	6793
SULT1A2_6875	6799
STX1A_6864	6804
STX4_28330	6810
STXBP1_6866	6812
STXBP2_28380	6813
STXBP2_6867	6813
SULT1A1_27920	6817
SULT2A1_24513	6822
SUPV3L1_6897	6832
SUV39H1_6901	6839
VAMP2_7615	6844
VAMP7_7620	6845
XCL2_28886	6846
SYK_6907	6850
SYPL1_6922	6856
TAGLN_19364	6876
TAF7_6938	6879
TAF9_6939	6880
TALDO1_6942	6888
TAP1_22946	6890
TARBP1_6945	6894
TBP_28217	6908
TBX2_6983	6909
TBXA2R_6990	6915
TCEA2_6992	6919
TCEB1_28413	6921
TCEB1_6998	6921
TCF4_15698	6925
HNF1A_22954	6927
TCF19_11253	6941
VPS72_7688	6944
TCTA_7011	6988
DYNLT3_2000	6990
PRDX2_25446	7001
TMBIM6_22300	7009
TERT_7028	7015
TESK1_28302	7016
TESK1_7032	7016
TFAM_22228	7019
TFAM_7036	7019
TFAP2A_7039	7020
NR2F1_20784	7025
NR2F2_16181	7026
NR2F2_27597	7026
TFDP1_7045	7027
TFF1_21691	7031
TGFB1_27949	7040
TGFB3_7059	7043
TGFBR2_7065	7048
TH_28255	7054
THBD_19323	7056
THBS1_24188	7057
THRB_24158	7068
THY1_17341	7070
TIAM1_7096	7074
TIMP1_13877	7076
TIMP2_7109	7077
TIMP3_18875	7078
TJP1_7119	7082
TK1_7120	7083
TLE1_7124	7088
SEC62_18636	7095
TLR1_18640	7096
TLR4_7131	7099
TSPAN6_7380	7105
TSPAN4_7379	7106
CLDN5_1375	7122
CLDN5_28660	7122
TNF_7230	7124
TNFAIP3_17927	7128
TNFRSF1B_14069	7133
TNFRSF1B_28264	7133
TNNI1_20151	7135
TOP2A_7277	7153
TP53_7287	7157
TP53BP1_7288	7158
TP53BP2_7289	7159
TPD52L2_7294	7165
TPI1_22768	7167
TPM1_28000	7168
TPSAB1_28207	7177
TPSB2_17547	7177
HSP90B1_3131	7184
TRAF6_7314	7189
TRPC6_10988	7225
TSG101_24913	7251
TSHB_7368	7252
TST_17424	7263
TSTA3_7382	7264
TTC4_26135	7268
TTK_7394	7272
TTR_7397	7276
TUBB2A_14065	7280
TUBG1_28348	7283
TXNRD1_7440	7296
TYMS_21327	7298
TYROBP_7448	7305
UBA52_7459	7311
UBB_17534	7314
UBB_28031	7314
UBE2A_28216	7319
UBE2A_28335	7319
UBE2G1_7477	7326
UBE2V2_7495	7336
SUMO1_6890	7341
UGDH_7525	7358
UGT2B7_21389	7364
UGT2B7_7548	7364
NR1H2_4670	7376
UQCRC1_13094	7384
UQCRFS1_7566	7386
USP1_7579	7398
VBP1_7629	7411
VCAM1_21232	7412
VDAC1_7642	7416
VDAC2_11431	7417
VDAC2_28051	7417
VDAC2_28052	7417
VEGFA_12596	7422
VEGFA_28053	7422
VIM_18185	7431
VRK1_16871	7443
VTN_14427	7448
VWF_7691	7450
WARS_23223	7453
WFS1_7723	7466
WNT7B_16545	7477
WRB_7746	7485
WT1_17358	7490
XBP1_7759	7494
XIST_28223	7503
XPC_28078	7508
XPNPEP1_7775	7511
XRCC1_13455	7515
XRCC5_26508	7520
YWHAB_15704	7529
YWHAZ_7817	7534
ZAP70_21701	7535
ZFP36_28280	7538
ZNF131_7863	7690
ZMYM2_28378	7750
ZMYM2_7861	7750
SLC30A3_15096	7781
ZP3_7919	7784
LAPTM5_23860	7805
BTG2_13191	7832
PAX8_28206	7849
CXCR4_28324	7852
IFRD2_3246	7866
MAPKAPK3_4013	7867
USP7_7602	7874
SLBP_20689	7884
REEP5_5789	7905
DEK_1841	7913
HSD17B8_24850	7923
LST1_25001	7940
LST1_27466	7940
LST1_28495	7940
MTERFD_28227	7978
ST7_6809	7982
KAT6A_3486	7994
NR4A3_11854	8013
PDHX_5033	8050
FOSL1_2463	8061
MFAP5_16153	8076
MFAP5_28285	8076
HMGA2_3022	8091
TCL1A_14440	8115
SLC7A5_13711	8140
COIL_23990	8161
NCOA3_4501	8202
NRIP1_4719	8204
SMC1A_6580	8243
LAGE3_3716	8270
KDM5D_25051	8284
USP9Y_7605	8287
AXIN1_590	8312
CDC7_19277	8317
CDC45_26987	8318
EOMES_17242	8320
FZD1_2533	8321
FZD7_2537	8324
HIST1H2AC_20846	8334
HIST1H2AK_20840	8336
HIST2H2AA4_2963	8337
HIST2H2AA4_2964	8337
HIST1H2BG_2953	8339
HIST1H2BL_19649	8340
HIST1H2BN_11971	8341
HIST1H2BM_2956	8342
HIST1H2BF_11973	8343
HIST1H2BE_11972	8344
HIST1H2BH_2954	8345
HIST1H2BI_11969	8346
HIST1H2BC_2952	8347
HIST2H2BE_2966	8349
HIST1H3D_17823	8351
HIST1H3C_19157	8352
HIST1H3H_2957	8357
HIST1H3B_12576	8358
PIP4K2B_5156	8396
SRPX_17263	8406
SDPR_18531	8436
RAD54L_14089	8438
NCK2_4492	8440
DYRK3_2006	8444
DUSP11_1981	8446
SMARCA5_12194	8467
GPR65_23391	8477
RAE1_5712	8480
PPM1D_25317	8493
PIK3R3_5150	8503
NIPSNAP1_4593	8508
IKBKG_3291	8517
IKBKAP_3288	8518
IFITM1_3226	8519
HAT1_2880	8520
CYP4F2_17490	8529
MAPKAPK5_4016	8550
BHLHE40_689	8553
MKNK1_4185	8569
CASK_976	8573
AKR7A2_29026	8574
H2AFV_28424	8574
RUVBL1_6065	8607
USO1_7576	8615
PSMG1_5544	8624
AKR1C3_203	8644
AKR1C3_26820	8644
ABCB11_21010	8647
SOCS1_21005	8651
DDX3Y_27101	8653
DDX3Y_29022	8653
DYNLL1_1997	8655
EIF3A_14222	8661
EIF3C_2092	8663
EIF3C_28624	8663
EIF3D_14221	8664
BECN1_680	8678
SRSF9_21528	8683
B4GALT2_604	8704
ABCC3_23353	8714
ABCC3_26788	8714
MBTPS1_4066	8720
EED_2035	8726
CTNNAL1_1630	8727
GBF1_20353	8729
RNMT_5894	8731
RIPK1_24853	8737
TNFSF13_7259	8741
TNFSF13_7260	8741
TNFSF12_27992	8742
TNFSF10_17292	8743
MPDZ_11090	8777
FPGT_16510	8790
TNFRSF10B_23818	8795
TNFRSF10B_7241	8795
PEX11A_5068	8800
SUCLA2_6870	8803
CREG1_1558	8804
IL18RAP_28858	8807
IL18R1_28357	8809
BANF1_635	8815
DPM2_1947	8818
INPP4B_3379	8821
FGF17_2402	8822
CES2_13386	8824
IQGAP1_3404	8826
NRP1_4724	8829
SOCS2_6660	8835
GGH_2639	8836
CFLAR_1269	8837
CFLAR_1270	8837
WISP1_26670	8840
WISP1_28074	8840
HCAR3_20175	8843
KAT2B_22724	8850
CDK5R1_1209	8851
NR1I2_12051	8856
APLN_345	8862
ST3GAL5_6802	8869
IER3_3214	8870
SQSTM1_6740	8878
CDC16_21464	8881
SLC5A6_6501	8884
EIF2S2_2088	8894
CPNE3_1532	8895
MTMR2_4353	8898
CCNA1_1047	8900
SGCE_26521	8910
TIMELESS_7100	8914
SNURF_24817	8926
MBD4_4052	8930
HIST1H2AG_12124	8969
P4HA2_4889	8974
PLOD3_5204	8985
ATP6V0E1_23077	8992
PGLYRP1_20523	8993
NOL3_4625	8996
SLC25A14_27867	9016
SLC25A14_28426	9016
SLC25A14_6397	9016
MPZL1_28279	9019
MPZL1_4249	9019
SOCS3_15641	9021
SEMA5A_13118	9037
UBA3_7456	9039
MAP7_3988	9053
PRC1_14588	9055
SLC7A7_21997	9056
PAPSS1_23878	9061
EIF1AY_2080	9086
DNAJA3_1895	9093
USP14_7582	9097
MTA1_4336	9112
PDLIM1_5041	9124
SMC3_6583	9126
PRPF4_5463	9128
AIFM1_183	9131
CCNB2_1057	9133
CCNE2_1073	9134
ATG12_28409	9140
SYNGR3_6917	9143
EXO1_17006	9156
LPAR2_3854	9170
ARHGEF2_423	9181
ZW10_7927	9183
SLC16A7_6342	9194
LRRFIP2_14725	9209
AURKB_587	9212
FAIM3_23874	9214
VAPB_7621	9217
NOLC1_4626	9221
MAGI1_26483	9223
PTTG1_5623	9232
GCNT3_13241	9245
UBE2L6_7483	9246
MAPKAPK2_4012	9261
CYTH1_1748	9267
ITGB1BP1_3441	9270
BCL7B_670	9275
COPB2_1491	9276
GPR56_2761	9289
ATP6V1F_14631	9296
TRIP13_13050	9319
CD163_14001	9332
B4GALT5_608	9334
SLC22A6_22726	9356
SLC22A6_28370	9356
ADIPOQ_25453	9370
TM9SF2_7142	9375
SLC22A8_22577	9376
MED21_4109	9412
ABCG2_25072	9429
MAP4K4_3985	9448
HOMER2_3072	9455
SH3BP5_6291	9467
SLC25A27_23627	9481
SLC25A27_27869	9481
PIGB_28244	9488
PIGB_5133	9488
PSMF1_5541	9491
KIF23_14714	9493
SPTLC2_6732	9517
GDF15_18329	9518
TBPL1_6978	9519
VPS4B_7681	9525
BAG3_629	9531
POLR1C_5255	9533
GMFG_11656	9535
EI24_15156	9538
TP53I3_24981	9540
TP53I3_27999	9540
SPAG7_6692	9552
NR1D1_16735	9572
IER2_3213	9592
CYTIP_17298	9595
ABCG1_37	9619
ISG15_3415	9636
FEZ2_2394	9637
IKBKE_3290	9641
MORF4L2_16981	9643
MTFR1_4345	9650
HS2ST1_3103	9653
HS2ST1_3104	9653
IPO13_3398	9670
VGLL4_28054	9686
VGLL4_28055	9686
GREB1_14205	9687
NUP93_4783	9688
BZW1_804	9689
UBE3C_7502	9690
RAPGEF2_17675	9693
EDEM1_2027	9695
TRAM2_7319	9697
ESPL1_23715	9700
CEP57_1257	9702
KIAA0100_3554	9703
HERPUD1_2924	9709
KIAA0355_3561	9710
USP6NL_7599	9712
CCP110_26981	9738
SLK_6551	9748
PCDHA9_4965	9752
MLEC_4188	9761
KIAA0101_3555	9768
DLGAP5_1882	9787
SPCS2_21762	9789
TATDN2_6963	9797
MRPL19_4268	9801
TOMM20_11983	9804
SCRN1_6155	9805
EFCAB14_19164	9813
KEAP1_3547	9817
MELK_4117	9833
GINS1_12127	9837
ZEB2_23804	9839
PLEKHM1_5194	9842
C2CD5_14220	9847
C2CD5_880	9847
KIAA0753_3564	9851
C2CD2L_878	9854
MED24_28263	9862
TOMM70A_7276	9868
FIG4_20285	9896
KIAA0196_3558	9897
KLHL21_3635	9903
G3BP2_2545	9908
ARNT2_448	9915
FAM20B_2318	9917
NCAPD2_4474	9918
LPGAT1_3859	9926
KIF14_3592	9928
P2RY14_4885	9934
EXOG_21490	9941
OXSR1_4880	9943
MVP_4379	9961
NR1I3_16711	9970
NR1H4_25084	9971
RBX1_5781	9978
DMTF1_1887	9988
GNPDA1_2723	10007
GNPDA1_28283	10007
HDAC6_2901	10013
PDCD6IP_17968	10015
BCL2L11_26447	10018
BCL2L11_26886	10018
BCL2L11_29027	10018
PARP2_28373	10038
PARP2_4940	10038
MAMLD1_3945	10046
DNAJB6_1912	10049
SMC4_6586	10051
AP1M2_15493	10053
AP1M2_28278	10053
ABCC5_26	10057
ABCB6_26787	10058
DNM1L_1927	10059
NR1H3_26446	10062
USH1C_11650	10083
USH1C_28044	10083
COL4A3BP_1476	10087
ARPC3_455	10094
TSPAN3_7378	10099
SGK2_10628	10110
RAD50_12781	10111
KIF20A_3601	10112
ARL4C_438	10123
PDIA6_5040	10130
TRAP1_7320	10131
NAMPT_10869	10135
NAMPT_28431	10135
G3BP1_2542	10146
MBNL2_4059	10150
CEBPZ_1245	10153
SLC25A13_6394	10165
SORBS3_6675	10174
RBM6_5774	10180
TXNDC9_7433	10190
PSME3_5538	10197
TRIM13_28005	10206
TRIM13_7340	10206
TOPORS_15752	10210
PSMD14_5527	10213
TRIB1_7336	10221
MFSD10_4149	10227
SLC35B1_6471	10237
TIMM17B_27958	10245
ABCC4_16668	10257
ABCC4_26789	10257
IGSF6_10705	10261
IRX5_18883	10265
AKAP8_195	10270
STUB1_6861	10273
NET1_27578	10276
NET1_28245	10276
SMNDC1_6595	10285
BCAS2_650	10286
LILRB2_24971	10288
PAK4_28253	10298
PAK4_4916	10298
TNIP1_7262	10318
IKZF1_3292	10320
IKZF1_3293	10320
IKZF1_3294	10320
CRISP3_20727	10321
CRISP3_28339	10321
TMEM5_28701	10329
TMEM5_7211	10329
CNPY2_1432	10330
CNPY2_28229	10330
MRVI1_22320	10335
TRIM22_21719	10346
HMG20B_3013	10362
TUBA1B_7399	10376
TUBB3_7409	10381
BTN3A3_28303	10384
NDRG1_21187	10397
MYL9_4413	10398
NDC80_16173	10403
IFITM3_17816	10410
NSA2_26002	10412
NSA2_27611	10412
PRMT5_28286	10419
LYPLA1_27474	10434
LYPLA1_3915	10434
EMG1_10916	10436
IFI30_22048	10437
C1D_859	10438
PPIE_5325	10450
VAV3_7626	10451
TACC3_15729	10460
FST_23553	10468
HOXB13_16208	10481
SEC23A_16204	10484
LRRC41_3882	10489
CRTAP_1578	10491
CRTAP_28374	10491
VAT1_7625	10493
STK25_6852	10494
SEMA4B_16787	10509
APPBP2_370	10513
CIB1_16624	10519
CHERP_1290	10523
HYOU1_3177	10525
NOP56_4635	10528
RNASEH2A_5875	10535
PROCR_24511	10544
RPP38_28323	10557
SPTLC1_16572	10558
SLC35A1_6463	10559
IFI44_11793	10561
CCT7_1100	10574
GNLY_23496	10578
IFITM2_11682	10581
TXNRD2_28293	10587
DRAP1_1957	10589
SMC2_12897	10592
AHSA1_24801	10598
SLCO1B1_14765	10599
PAIP1_4909	10605
PAICS_4908	10606
ST6GALNAC2_27912	10610
SPAG5_17378	10615
STAMBP_6819	10617
MYL12A_4405	10627
RAD51AP1_24940	10635
NPRL2_4660	10641
IGF2BP2_3259	10644
SCGB1D2_12936	10647
YKT6_7796	10652
PMVK_5228	10654
KHDRBS3_22399	10656
CTCF_19656	10664
CGRRF1_1278	10668
RRAGA_6028	10670
DCTN6_1789	10671
TNFSF13B_19280	10673
B3GNT2_21862	10678
GNB5_2709	10681
EBP_2015	10682
CNPY3_1433	10695
CNPY3_28629	10695
YME1L1_7799	10730
TCFL5_7007	10732
RFPL3_24612	10738
MASP2_27484	10747
TRAF3IP2_28407	10758
KDM5B_3545	10765
SRSF10_24587	10772
POP4_5281	10775
ARPP19_466	10776
ZNF274_7885	10782
MTHFD2_4349	10797
RPP40_27808	10799
WASF3_7695	10810
UTP14A_7606	10813
FRS2_2492	10818
CLPX_1399	10845
PGRMC1_5105	10857
SLC22A7_18103	10864
HCST_17168	10870
FGL2_22561	10875
WDR3_10929	10885
PPARGC1A_12225	10891
MALT1_3941	10892
CPSF4_1539	10898
BLCAP_713	10904
GADD45G_13658	10912
PAPOLA_28387	10914
TCERG1_7000	10915
RNPS1_5895	10921
DBF4_20417	10926
MORF4L1_4240	10933
PRDX3_27724	10935
TOMM34_7272	10953
PDIA5_5037	10954
TMED2_7165	10959
MLLT11_4193	10962
IFI44L_19848	10964
EBNA1BP2_2014	10969
TMED10_7162	10972
ASCC3_26863	10973
ASCC3_26864	10973
ASCC3_480	10973
FERMT2_23975	10979
COPS5_1497	10987
SLC27A3_6427	11000
SLC27A2_6426	11001
KIF2C_3603	11004
CCDC85B_1030	11007
CCDC85B_28333	11007
TLK2_7125	11011
KLK11_28234	11012
KDELR2_3540	11014
RAB31_5670	11031
RIPK3_14085	11035
B3GNT1_602	11041
SMA5_29033	11042
PAPD7_4925	11044
NUDT21_4757	11051
UBE2C_7468	11065
DUSP14_28218	11072
TOPBP1_7280	11073
PRSS23_5481	11098
BTN3A2_26908	11118
ZWINT_14161	11130
PWP1_5638	11137
PKIG_5162	11142
CORO1A_1507	11151
LSM6_3897	11157
NUDT5_4760	11164
FSTL1_23151	11167
PSIP1_27736	11168
PSIP1_5500	11168
SLC2A6_6447	11182
RASSF1_28369	11186
RASSF1_5747	11186
NISCH_4595	11188
NISCH_4596	11188
NISCH_4597	11188
CHEK2_1289	11200
FZD10_26157	11211
MRPL3_28349	11222
RPL35_21373	11224
PRAF2_28210	11230
POLG2_5253	11232
SLC6A14_6512	11254
CHP1_1319	11261
USP18_7584	11274
PNKP_5229	11284
SLCO2B1_6541	11309
PARK7_4930	11315
ECD_2021	11319
DDX42_1819	11325
VSIG4_16450	11326
OIP5_19896	11339
EXOSC8_21683	11340
TWF2_7415	11344
CASC3_973	22794
NID2_20114	22795
COG2_1441	22796
XRN2_7788	22803
ATF5_501	22809
COPZ1_1499	22818
MTF2_4342	22823
PUF60_5625	22827
RAB11FIP2_5656	22841
ANKRD26_11298	22852
CLSTN1_1400	22883
FOXJ3_2478	22887
KIAA0907_3570	22889
DENND3_15196	22898
DENND3_28276	22898
CARD8_28417	22900
ARSG_16625	22901
EPN2_2197	22905
SACM1L_6098	22908
KLRK1_20413	22914
NCBP2_23556	22916
ATF6_502	22926
POMZP3_5273	22932
RPIA_5911	22934
CCT5_23696	22948
TPX2_7308	22974
PAXIP1_4950	22976
DAAM1_13274	23002
RAB21_5663	23011
SPEN_6707	23013
FBXO21_2375	23014
RBM34_28235	23029
RBM34_5768	23029
WDTC1_7722	23038
XPO7_7779	23039
TBC1D9B_6969	23061
RRP1B_6038	23076
MYCBP2_4398	23077
PEG10_18691	23089
CDK19_1201	23097
GPATCH8_2740	23131
MAST2_4033	23139
DCUN1D4_1795	23142
FCHO1_2381	23149
FCHO1_28745	23149
WDR43_7707	23160
SNX13_6653	23161
ATP11B_517	23200
JMJD6_3471	23210
RRS1_6040	23212
SULF1_21749	23213
RRP12_6035	23223
SYNE2_6916	23224
ARHGEF9_28393	23229
ARHGEF9_427	23229
PDS5A_5046	23244
ASTN2_28411	23245
CAMSAP2_955	23271
ATMIN_513	23300
TRIM2_7343	23321
KIAA1033_3574	23325
USP22_7587	23326
WDR7_7716	23335
PHF15_5110	23338
ARHGEF12_420	23365
PPP1R13B_5339	23368
RRP8_6039	23378
KIAA0947_21898	23379
NUDCD3_4752	23386
NCAPH_4484	23397
SIRT3_6320	23410
SLC35A3_6466	23443
ANGPTL2_21137	23452
ABCB10_14348	23456
ABCA6_22690	23460
ABCA6_28368	23460
ICMT_3191	23463
TRAM1_7316	23471
SEC11A_27827	23478
SEC11A_27828	23478
SEC11A_27829	23478
SEC11A_6181	23478
LEPROTL1_21732	23484
MACF1_3927	23499
SUZ12_6905	23512
RPL13A_5916	23521
KAT6B_3489	23522
HMHA1_19382	23526
HMHA1_28322	23526
NNT_4618	23530
ADAT1_113	23536
PADI4_23775	23569
TMEM50A_7213	23585
KLHDC2_3630	23588
ORC6_4832	23594
OPN3_4813	23596
ACOT9_69	23597
AMACR_14170	23600
PHLDA3_18856	23612
SSBP2_6782	23635
NUP62_27614	23636
LY96_18964	23643
ARFIP2_405	23647
SLC7A11_14100	23657
LSM5_3894	23658
PLA2G15_5170	23659
TMEM2_27975	23670
SGK3_6285	23678
GABARAPL1_2552	23710
MAFF_27478	23764
MAFF_28315	23764
FLRT2_20435	23768
ARHGAP8_26847	23779
ARHGAP8_26848	23779
BCL2L13_18967	23786
BCL2L13_26889	23786
BCL2L13_26890	23786
BCL2L13_26891	23786
BCL2L13_28316	23786
KIF4A_28251	24137
ZNF318_7889	24149
FBXO7_2377	25793
LMOD1_20824	25802
SPDEF_6706	25803
BAMBI_634	25805
BACE2_618	25825
COG4_1445	25839
COG4_28894	25839
ASF1A_18396	25842
PP7080_5295	25845
RPL36_5938	25873
MPC2_4243	25874
MXRA5_12061	25878
OLFML2B_23568	25903
NOL11_20572	25926
GEMIN5_22827	25929
CLIC4_1388	25932
NIPSNAP3A_24427	25934
SAMHD1_11680	25939
C2CD2_875	25966
UNC50_7554	25972
TIPARP_7116	25976
CHMP2B_1301	25978
TSKU_7371	25987
RNF167_29012	26001
RNF167_5885	26001
LRP10_3874	26020
ZNF451_7904	26036
SENP6_6219	26054
RAI14_5716	26064
KIAA1279_3583	26128
TES_7031	26136
PHGDH_5113	26227
FBXO22_15494	26263
FBXO5_10555	26271
FGF21_28870	26291
MYCBP_4395	26292
CHIC2_1295	26511
TIMM9_7106	26520
AATF_26432	26574
GAGE1_2574	26748
GAGE12J_2577	26748
GAGE2A_20694	26748
GAGE2D_22568	26748
GAGE4_2578	26748
GAGE1_2574	26749
GAGE12J_2577	26749
GAGE2A_20694	26749
GAGE2D_22568	26749
GAGE4_2578	26749
HAVCR1_23335	26762
HAVCR1_2885	26762
STEAP1_20305	26872
AP3M1_15244	26985
AKAP8L_196	26993
TRUB2_16962	26995
NGFRAP1_24191	27018
ATP2C1_533	27032
LAT_17399	27040
NSG1_14124	27065
LAMP3_25004	27074
UQCRQ_7569	27089
TRAPPC3_7327	27095
ATP5S_554	27109
BBC3_25556	27113
IL36B_19480	27177
GNMT_16770	27232
TNFRSF21_7250	27242
SESN1_6261	27244
MMADHC_10852	27249
LSM1_3888	27257
SULT1B1_13188	27284
SULT1B1_6880	27284
P2RY10_14651	27334
EIF3K_20430	27335
HTATSF1_3159	27336
TMEM97_7217	27346
SLCO1B3_6538	28234
IGKV1_28187	28299
IGKV1_3282	28299
IGHV4_28203	28423
TRBC2_28196	28638
TRBC1_28169	28639
TRAV20_28173	28663
IGL_28225	28773
CYAT1_28404	28809
IGLV1_28171	28823
IGKV3D_28174	28875
IGKV4_28185	28908
IGK_28226	28942
BZW2_28613	28969
BZW2_805	28969
MRPL13_4261	28998
ATAD2_22038	29028
CHMP4A_1304	29082
GTPBP8_2849	29083
MRPL15_4264	29088
UBE2T_7492	29089
ORMDL2_4840	29095
DNAJC15_28381	29103
RACGAP1_19398	29127
UHRF1_17708	29128
PACSIN3_4896	29763
RBM15B_5765	29890
EEF2K_15933	29904
GPR171_11276	29909
HOOK2_3074	29911
SNX11_6650	29916
TIMM22_7102	29928
NENF_4541	29937
OSGIN1_21718	29948
SERTAD1_28385	29950
PSAT1_10692	29968
UBQLN2_7511	29978
ERO1L_2227	30001
SPANXA1_6696	30014
SPANXB1_6698	30014
VSX1_28412	30813
DNTTIP2_1936	30836
PIK3R4_5151	30849
STOML2_6858	30968
RRM2B_13340	50484
G0S2_13343	50486
CHST11_20899	50515
CHST11_28342	50515
IL20_16401	50604
KCNK4_3519	50801
AK3_24914	50808
HDGFRP3_2909	50810
COPS7A_1498	50813
NSDHL_4728	50814
TRAT1_13833	50852
CLEC4A_11353	50856
HEBP1_2919	50865
TPRKB_7298	51002
AMDHD2_248	51005
SLMO2_6554	51012
TMED7_27963	51014
ISOC1_3421	51015
MRPS16_4290	51021
FIS1_2429	51024
GOLT1B_2734	51026
GLOD4_2670	51031
GMNN_2688	51053
LAP3_3740	51056
RPS27L_6001	51065
NOSIP_4639	51070
DERA_1848	51071
DERA_28317	51071
NDUFA13_4515	51079
SCCPDH_6120	51097
